particle	x_0	y_0	delta x	delta y	stable?
0	0.386409699075595706279935052385159184	0.271713113848130302061578436349809737	-8.94931548632311132195980835089212123e-05	0.000378150898634675854685032896121095589	True
1	0.0611549588499517650600545224626285976	0.801569740148127009954499743330333758	-0.000553267411034002035165010576769835939	0.000301064748082516289423793850659157173	True
2	0.579087259172173786239554275004628036	0.0917362968486924433798043630890420148	-0.000743301864387984157336521325758210396	-9.98916575577735164786698657049096581e-05	True
3	0.0825156199784572597720149969267649089	0.459101567826231584420382428625356743	-1.60259213846454038499201938745199706e-05	0.000285182623961640579862592211207512574	True
4	0.407154696153796798684267934769440857	0.816910244150237126844719278485699299	-0.000442330694280995887501768738418014263	-0.000205098778116987229683022481409468984	True
5	0.72237729988287807062797602012140372	0.629893024355102738556607502630704543	0.00111019583053359113977754966668374006	-0.000455115187126592396523632723956912039	True
6	0.160691819515628746968520284600610656	0.0778658886082769588513522848611555323	0.000294781386430578427749464199525035556	5.90213744346497047314200046940936624e-05	True
7	0.872623204879814463789983165683085175	0.174159907479593556885524536175329109	0.000327598619121161143711071491342664711	-0.000150891763024205448851800492819858263	True
8	0.448314706759257062936013381158901107	0.514267069560019102965523798367020339	0.000628181297582659281994454173218596326	0.000127216794646353959041631081726725448	True
9	0.661940797347669598249765175837219814	0.349026223063438478315828374165875899	0.000149206945840745701306191860525563125	-0.000337458782931785775765444383775848426	True
10	0.793732679411863560049436300016484831	0.913326275933783871799691057388974174	-0.000747584823221878576511078146570929861	-2.57784325939074359551278501288728675e-07	True
