particle	x_0	y_0	delta x	delta y	stable?
0	0.386416708476715051735481291245704565	0.271557824019589682936458552381964927	5.98927853589516660598088152304259828e-05	-0.000338664422253776109937709849475612281	True
1	0.0614248451917879030462683153780733108	0.80135082051952235774551825173117624	0.000540760964698876139165003548715307832	-0.000261635342295237912871164021285544463	True
2	0.57947021335111276754658333498553325	0.0918786192068807188709800545231880105	0.000679794539605935197966838511496826969	9.68248347373789254155587472638440086e-05	True
3	0.0824347997062668047914288297558300347	0.458979913015005958941480163828350518	-5.19960833993574627175496223339790209e-05	-0.000235165267281420624747034577822940225	True
4	0.407541931405788339701620447209005088	0.816974130149585084131249472021275379	0.000472041497137692900265775385562336861	0.000170522202256540261394993797023381616	True
5	0.72178641205347165033314410411086963	0.630177043845922453523634938860109033	-0.00100987739683667895952671866306697457	0.000407667399786714808231452201429782733	True
6	0.160585126814844323351497909308856916	0.0776979388853139051579381154020922354	-0.000258448590304855945179519593624317374	-5.92490558673939898081965912531453993e-05	True
7	0.872446025541718797286672642500053123	0.174200700417830178849700204140465435	-0.000299871915081128790665774487872217902	0.000134129702744514916678983935602553637	True
8	0.447967673814814683871330750996715365	0.514190189660558725716790422137780246	-0.000596668648291442058773750979032913695	-0.000125310354856389353206713299277315155	True
9	0.661933650449086967757274463031916006	0.349260491503952700881827468179446063	-0.000146834018901732777592084180354864956	0.000306329038449583852543209658836678465	True
10	0.794062191255538608596249670451241914	0.913342949023704354114415453040799294	0.000693588805004248789638658880805419881	-3.76693181003662840823034543562722956e-06	True
