particle	x_0	y_0	delta x	delta y	stable?
0	0.347991938490263433513251680771584258	0.0699014684670347010554280480424278513	-5.86630131626658760844728852598502598e-06	5.7122872170151751118231077654322137e-05	True
1	0.848731332356149114569013054899180633	0.158982002143078174829126207614806116	-1.47471949124135187148078666937800599e-05	-8.3497152972734326027274460964027714e-05	True
2	0.457748039591587878239049483277323539	0.88396942655584717344469671909914614	-6.58094530761605110124631153795831694e-05	2.36238257818887825445060410309434905e-05	True
3	0.0106556780762315434284673755315522117	0.326487250267230593905597390422997306	-8.37181447877946913038756860119370472e-05	-3.52723615049897946280609626834621377e-05	True
4	0.203938906696728758899594066247156819	0.800044862128950588972840726319610798	-4.0843532628481069291073100136002722e-05	-2.69137182751229937072185373593276976e-05	True
5	0.838324885242929097739528585141422908	0.498089794255341839358497948002567585	8.12133206074831709899927175308779666e-06	5.71347911519878891681395858551931464e-05	True
6	0.914075560934022513907747260975785178	0.914589578805466230036882978841101919	-2.60104729404038451866058095094773029e-05	3.22782118713918625628098182383370414e-06	True
7	0.236647317447338290304936849853208039	0.279700363401426530994707215430813991	-6.23166314806660269993666348324888057e-05	3.32577842737014389932022732865356656e-05	True
8	0.936318483315549131428722337784035299	0.709739240929929235629888824365018268	0.00010397773247466365883205474122606737	1.32541340333545290013638005220266369e-05	True
9	0.468414692619067523838393001958995783	0.697281095294746536615809685366707584	-1.90881936627732816205858805732294539e-07	2.82027437479506456812802399192079505e-05	True
10	0.576714620350641687307798589828467235	0.299621892780338404814308312726639896	4.3191503489828681630311651274897535e-05	8.98095946582987902246589549067542574e-06	True
11	0.321125774176970299502357328840282029	0.513200299757138068301867932623401502	3.52437167177022888449406001401481434e-05	5.82118405805893142520878385361496629e-08	True
12	0.633834759602158484069457461889777452	0.594537343743403201019511544050735716	2.00473224875547663300558772035184478e-06	3.37650236321723482072262210017773071e-05	True
13	0.675247711277480108326342602297456548	0.969130084502543557700863821034150137	-4.08001778093583372197376561453628233e-05	-4.82429796317249859174823615920169603e-05	True
14	0.746457934190400921035062341415676935	0.74556860684968464876508707671513188	8.91689383566325026225877022592245395e-05	-2.06150472321601699475353422910980484e-05	True
15	0.0729975354397500696268353405245894324	0.544024734886397534467669655800175014	2.56036436779996040609967552917825351e-05	-6.17630850364620498917067259944113693e-05	True
16	0.084673821687728742700528004087471994	0.0840327499244043019697102838406394404	-1.55773739999544377836876541988274665e-06	-1.39232783017690860882771434087090913e-05	True
