particle	x_0	y_0	delta x	delta y	stable?
0	0.347994369697601935595650472368007354	0.0698737953259423474333033577162739691	3.07025610833665430069474551192258854e-06	-3.51447364658392250569282974051109262e-05	True
1	0.848737802659176111428528123498137046	0.159020010151412233817479660027264494	8.41004723180419079458426529054462416e-06	4.9826316853700938995962388988005736e-05	True
2	0.457779991773311361421981729700694943	0.883957566736188031825594769868077399	3.93568711525020639281183038901238977e-05	-1.45729408590307074164071964745055006e-05	True
3	0.0106962473011031143513454142012404745	0.326504958864013105398627315456811177	4.92055814647321851110538310204572223e-05	2.13441097433977610381696168614174273e-05	True
4	0.203959717737829087313739479031813807	0.800058053031835808124174548892143255	2.39754930224443100127898704782104761e-05	1.65272945428903950585813683631632848e-05	True
5	0.838320375244208077025809195549439028	0.498062831336173402643017338002617013	-5.03763826982023520252559708579605735e-06	-3.33542663073687062109155093432927454e-05	True
6	0.914087839929699420865762592557920298	0.914589312210868856977267898280424418	1.55295630487983678344306943007533947e-05	-1.43735674122338597103662863058189912e-06	True
7	0.23667577690087003648485251796440455	0.279684226446374230934644731289129301	3.82271927442694542983918105815017463e-05	-2.02178200620170806466797570335045517e-05	True
8	0.936267230374244455582765157925585078	0.709733632845964971417317239762000073	-6.11772223671909590661342221441680874e-05	-7.27879069656485105793952122128836036e-06	True
9	0.468412912210281888962741720088702956	0.697266563307846796011628707319640959	-1.43338289101033900944295749702989722e-07	-1.71350747007341823484367761321119885e-05	True
10	0.576693848627349048415432808337226824	0.299616883103192448791864011664176589	-2.62408237705884897122297088247678827e-05	-5.49899508048603810922244010106052142e-06	True
11	0.32110792602939357895228197349729915	0.513199312126907703906032336661086387	-2.14125769328333082773724350768542214e-05	9.18363809789328162614844191386039498e-08	True
12	0.633832327341062473183006727915738513	0.594520335754193515534587203100450583	-1.42176668426953863560130856916320371e-06	-2.00995380820595155521444426101542778e-05	True
13	0.675266876087222920362450779492093106	0.969152051825819769399412550179836439	2.42748459204250039952078792485681024e-05	2.85160867978795978940170665098078429e-05	True
14	0.746413823652609781205008237056463559	0.745576739297741424544376413244856283	-5.26675478554021046316241963533638279e-05	1.19746148819138727513837761780383818e-05	True
15	0.0729846511695708561461403831890605386	0.544055363904465719972277748746969445	-1.53867626169728408634950878540914234e-05	3.69296349590278207643051206949915027e-05	True
16	0.0846744256491226185227899234690486894	0.0840394790345909408060807369128108401	7.20899422646794239271734653437879923e-07	8.88894371308115000982278125150066389e-06	True
