particle	x_0	y_0	delta x	delta y	stable?
0	0.932782291164381151456371141524286628	0.668395575596804240176849392420400689	9.36092480675945805655525034590690512e-06	-8.6602262089433241872130900242641122e-06	True
1	0.267752807144628109700062185671967014	0.308985318873755504454178946276434884	-2.49987685257853080211586864068784623e-05	-4.06603024490159156451527459838608951e-06	True
2	0.599187325393918071784288066806659022	0.138775313500224411132485410885264445	1.15511639978841848860920624025616995e-05	2.71567946101081788654117842528921152e-05	True
3	0.468011094630106416992666555966284818	0.997118970194664345657479599498297086	4.91318924619184001031907530588404808e-06	2.54256299486869964557681492049294005e-05	True
4	0.0927922626752111215630183284191426555	0.189243312871499522233805318082476728	-2.22990828543037929333164561750223517e-05	-1.1763812774528199994858722672775466e-05	True
5	0.855621738366818625639997422026570604	0.0944377442054719373624415665699151188	-9.82880566185883006834377930514673457e-06	7.30121144999476241926789523694206587e-06	True
6	0.543178389838079559977129163547007037	0.940233552438143774777587172030900455	-1.55858408006080748057594771812559012e-05	-1.10516526071039070162979592703126757e-06	True
7	0.304028790891793820316787981838742269	0.972677521018843375344618460658251013	4.6792749639049366751684942753067763e-06	1.44356023665737302664379587895551876e-05	True
8	0.793167334735957278060013923385196851	0.867246480452543834855558429822459646	-1.19002537508802217076469443535725204e-05	-2.35324952006868418471485332434404727e-05	True
9	0.0721496503025311880078508323901279692	0.531049361052551216884262756253526667	1.70001319033085337613036596747554306e-05	-4.9234421583381791999159923830657298e-07	True
10	0.804755347970947263406709800167119922	0.334698729041955554662834358119791126	0.000133954222958112406077594017979747541	-0.000113004161602084425239753704152045785	True
11	0.752669502750007761339877621627259448	0.71410091809890185496323601137783388	-5.13051480028874828157558497585873178e-05	-9.63462947474537967262786993466251738e-06	True
12	0.324146539304498283344999390300007604	0.219806655180505915012770064810942973	-7.15221470639787666975934588359258435e-05	-9.78262152905840419839518354386953591e-06	True
13	0.484676522806489273260791577325061489	0.924440012239066998549570358286491038	-1.91563570267515356119458357138840227e-05	2.42386204616307594723093592904568144e-05	True
14	0.0999929608573536870500719006437472895	0.648338982684671460169456441995385627	3.95496314445667919236579088844683151e-06	-2.25931646814380415887751547485080314e-06	True
15	0.37717211499198786520114797692359244	0.362601153005287815398951616164015129	-3.44583687987022474348571581403161041e-05	-3.02206086200312858504361558375862569e-05	True
16	0.373145003834848324052732733417820537	0.722028222852334968399310485934611731	-8.00368081678179370709969871174582601e-06	-2.10770166621806199167665755412300727e-06	True
17	0.764799362706026142697591849509808839	0.0431025737181561861313543253877244868	-5.7876872840370621289006908713145701e-06	-7.70657016424852873087867212547207805e-06	True
18	0.794490088020815342994053710117651526	0.269960937489042376100699768274185427	6.02256767146376238218678617182566811e-05	-6.18427913176826117441632914747955566e-05	True
19	0.640782207834243054641765771895903017	0.707057252790734727571470322639500762	-6.93417064465742486938067503987161536e-05	7.48818921824443044842153422890359013e-06	True
20	0.921326126248920533645633051212863705	0.322493612262970726492925317698527973	3.58048462958299442146400542114543714e-05	-1.79422611670518561647705319549873306e-05	True
21	0.749848422136213518470868716539885449	0.552521058418593661777201952001353224	-7.47829186236145714064193569180122226e-05	2.04961946493274799984145413984690369e-05	True
22	0.283426498739464970097011107980291742	0.140221029604624339865151185130957242	2.7589057609659764578435194587811224e-06	2.02457646060795157163748325511270684e-05	True
23	0.298197222642916284381229511577845544	0.0786684542698125739869114844278748492	-4.02943204417743553286971130109726462e-06	2.04340934499874582401981475003739119e-05	True
24	0.368980008799231554823566769314017622	0.480928650483535449353290797421239575	2.20577795706881069906647960400334382e-06	-2.1115987828512491311443083961985631e-05	True
25	0.510138217650031858382220226498704352	0.190980653683872456869867648924678116	8.09835156596031835606536363366860045e-05	4.06657731055623570600941072313806217e-05	True
26	0.0294501309230840427312753495191210625	0.0871961522643419250963213602419805317	-1.8747919530009226053158360081615637e-05	-1.91415899419064577874967150486426054e-05	True
27	0.466537300310131359283531298003441974	0.44425887118084661830722148875494721	4.73106472656427514260103938206363993e-05	-3.06830645224206991577986857250035515e-05	True
28	0.901498123547106382358361699175159592	0.856893279106194227855524928659455868	-2.03089126585651932293937220440875879e-05	-9.98210406797631638225639160655745568e-06	True
29	0.2408783651228142503043226235613033	0.920260784715801381528320041434855094	1.46558717083964916917884291850680028e-06	1.13892296976376693207377570665279105e-05	True
30	0.69380241124936409225518873936982681	0.0271695548768046172778914952297770752	-2.5646672786225795298257813804955122e-06	-6.09425499842972137984064805002829638e-06	True
31	0.252104349690969980916088181908706513	0.712495753499926655019146534881649309	7.79097302791273259307388834852468327e-07	-3.62207257729274446283435678792801284e-06	True
32	0.895298871182297393076214677013105618	0.616609703285510318155228349469775461	-5.12321446152747871122378144232408404e-05	3.98615207176950830090458964899654496e-05	True
33	0.336532483570884925947529316859644829	0.981360353077265849225273113136032903	9.60427183760643747600084453029515139e-07	2.51147136463678766346792129366278778e-05	True
