particle	x_0	y_0	z_0	delta x	delta y	delta z	stable?
0	0.377949847177380737069515288615068477	0.589812691235452102022815554142893119	0.0397484885170080158690944914464561119	0.0452515721896551037520306688528328214	0.045467717416556982018743724574657984	-0.0178177376425638497039910530402428146	True
1	0.720206143121411141167638004016980035	0.345596752530530346484901032549722183	0.13321675054446896955682174443675362	-0.0150150039720519228717473519566937691	-0.00371352795785885521978607195395266139	0.0494231061379409654908191080307732441	True
2	0.653926133887450108080855434983567276	0.705764097298795078835850205200930708	0.385751696506813633966340230422825501	-0.00255573529569501739343845554978794795	0.0105726048783650088538656100950985804	0.0135291799117276226433972432841741415	True
3	0.0106654854638023567728000809060700178	0.0851818517108067528084050927475802495	0.347451644665030771247560736555628676	-0.0170414473249799796528131070328210997	-0.0320386814518247858104946407888317778	-0.011538440524709413496190342146669032	True
4	0.901549137302944815922612071068285636	0.778482068333194568335667946944974664	0.0303471665653811192122291875717915131	-0.00955898433415984457187463130079655672	-0.0445280032550415075281688912609292846	-0.00582141064136404124080310619331864322	True
5	0.0971661007918732618777261301287107026	0.222838025394137156376166915928888233	0.928053445998336454603362425392066809	-0.0156572068907371179315555571729905468	0.0634324274676711818437426753412012131	0.0262979123801885317302645267230601309	True
6	0.0705160143800640985243375228874545682	0.539655190383608412439799350748399776	0.346476176988077279480653522162845819	0.0424170802218412267897404326893975524	-0.0182608174004449714719958810612534052	-0.015348317512586923494030545849175385	True
7	0.76332330952747997913026601976431026	0.0131345973606596657718951958030829165	0.696434658119769807919719670243589587	0.00845808366056493657176744096415509617	0.000284604514134931993727465979973275277	0.0198169735362013952952524637040571804	True
8	0.823097513467595819754625048094922644	0.472626879408729627606634404033464425	0.707697683156761378514042772304592271	0.00627364872887306825341541650905512342	-0.0156448727263574668320565115279028621	-0.0397154603860648798999895695845844386	True
9	0.452728061671460487339264395257713261	0.0146456693399867311599230538307262531	0.979255235494719364668699910680553569	-0.0269094738635471418180789821055186743	0.0530118451161087250873650805132597354	-0.0256953327010271355972003422039955689	True
10	0.174552519282928850716803166694760855	0.820063940428163427593677148183928571	0.680300204852325028915218265707726342	-0.00573449618656105048543097964715886522	-0.0195968108990764068954560345930587973	-0.00158712471593147052922989767160572783	True
11	0.381077861179409123733415683457162836	0.430091537768806201206467359442624458	0.629927877844033978392647960161927971	0.00848606726471360745751376768914888213	-0.0194893657759540219956162442616890071	0.012723818961631763685349232360935521	True
12	0.449342636761896697264648263381478914	0.0759455586167642552967714116992303723	0.402230679562087245433281234148284303	-0.0193440992273815351421602062668809015	-0.0192237683994851697890957820017420685	-0.00172338175882844470899565333441145899	True
