angle	top	too_far	unstable
0.0	0.035	False	False
5.0	0.0352	False	False
10.0	0.0362	False	False
15.0	0.038	False	False
20.0	0.043	False	False
25.0	0.0402	False	False
30.0	0.0196	False	False
35.0	0.0142	False	False
40.0	0.0116	False	False
45.0	0.01	False	False
50.0	0.0092	False	False
55.0	0.0086	False	False
60.0	0.0084	False	False
65.0	0.0086	False	False
70.0	0.0088	False	False
75.0	0.0094	False	False
80.0	0.0106	False	False
85.0	0.0124	False	False
90.0	0.0156	False	False
95.0	0.021	False	False
100.0	0.0258	False	False
105.0	0.0266	False	False
110.0	0.0264	False	False
115.0	0.0268	False	False
120.0	0.028	False	False
125.0	0.0304	False	False
130.0	0.0344	False	False
135.0	0.042	False	False
140.0	0.061	False	False
145.0	0.073	False	False
150.0	0.0664	False	False
155.0	0.0582	False	False
160.0	0.0438	False	False
165.0	0.0396	False	False
170.0	0.037	False	False
175.0	0.0356	False	False
